time wait-consensus actual-consensus wait-consensus actual-consensus
1 0.06 5.41 0.06 4.12 0.52 8.6
6 13.23 9.81 6.45 6.51 0.48 8.7
12 43.24 11.55 15.23 9.90 0.56 8.8
18 73.56 12.04 34.28 10.82 0.56 8.8
24 107.29 12.11 50.14 12.3 0.56 8.8
